GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-backend,com.example.booklibrary.model,MongoUser,20,21,0,0,2,2,5,2,5,2
book-backend,com.example.booklibrary.model,Book,0,70,0,0,0,4,0,10,0,10
book-backend,com.example.booklibrary.model,MongoUserDTO,33,0,0,0,1,0,6,0,6,0
book-backend,com.example.booklibrary.model,BookArt,0,27,0,0,0,5,0,1,0,1
book-backend,com.example.booklibrary.exception,ApiError,15,0,0,0,1,0,3,0,3,0
book-backend,com.example.booklibrary.exception,GlobalExceptionHandler,13,3,0,0,2,1,1,1,1,1
book-backend,com.example.booklibrary,BookLibraryApplication,5,3,0,0,2,1,1,1,1,1
book-backend,com.example.booklibrary.config,ReactRoutingForwarding.ReactRoutingPathResourceResolver,17,3,4,0,4,1,3,1,1,1
book-backend,com.example.booklibrary.config,ReactRoutingForwarding,0,26,0,0,0,6,0,2,0,2
book-backend,com.example.booklibrary.security,SecurityConfig,7,69,0,0,0,19,1,5,1,5
book-backend,com.example.booklibrary.service,UserService,35,9,2,0,5,4,2,1,1,1
book-backend,com.example.booklibrary.service,MongoUserDetailsService,24,6,0,0,4,3,2,1,2,1
book-backend,com.example.booklibrary.service,BookService,5,43,1,1,1,11,1,6,0,6
book-backend,com.example.booklibrary.controller,UserController,22,6,0,0,7,3,4,1,4,1
book-backend,com.example.booklibrary.controller,BookController,10,90,2,2,2,18,2,6,0,6
